"Lee Gaeun","이가은","-","Pledis Entertainment","A","1994","t"
"Ahn Yujin","안유진","-","Starship Entertainment","A","2003","t"
"Jang Wonyoung","장원영","-","Starship Entertainment","B","2004","t"
"Miyawaki Sakura","宮脇咲良","미야와키 사쿠라","HKT48","A","1998","t"
"Kwon Eunbi","권은비","-","Woollim Entertainment","C","1995","t"
"Goto Moe","後藤萌咲","고토 모에","AKB48","C","2001","t"
"Yabuki Nako","矢吹奈子","야부키 나코","HKT48","A","2001","t"
"Wang Yiren","王怡人","왕이런","Yuehua Entertainment","C","2000","t"
"Choi Yena","최예나","-","Yuehua Entertainment","B","1999","t"
"Lee Chaeyeon","이채연","-","WM Entertainment","A","2000","t"
"Takeuchi Miyu","竹内美宥","타케우치 미유","AKB48","B","1996","t"
"Honda Hitomi","本田仁美","혼다 히토미","AKB48","A","2001","t"
"Matsui Jurina","松井珠理奈","마츠이 쥬리나","SKE48","B","1997","s"
"Yamada Noe","山田野絵","야마다 노에","NGT48","F","1999","s"
"Kim Minju","김민주","-","Urban Works","C","2001","s"
"Shiroma Miru","白間美瑠","시로마 미루","NMB48","D","1997","s"
"Jang Gyuri","장규리","-","Stone Music Entertainment","F","1997","s"
"Takahashi Juri","高橋朱里","타카하시 쥬리","AKB48","A","1997","s"
"Jo Yuri","조유리","-","Stone Music Entertainment","F","2001","s"
"Kim Sihyun","김시현","-","Yuehua Entertainment","A","1999","s"
"Miyazaki Miho","宮崎美穂","미야자키 미호","AKB48","D","1993","s"
"Heo Yunjin","허윤진","-","Pledis Entertainment","F","2001","s"
"Lee Sian","이시안","-","Stone Music Entertainment","D","1999","s"
"Chiba Erii","千葉恵里","치바 에리이","AKB48","F","2003","s"
"Kang Hyewon","강혜원","-","8D Creative","F","1999","s"
"Go Yujin","고유진","-","Blockberry Creative","A","2000","s"
"Iwatate Saho","岩立沙穂","이와타테 사호","AKB48","D","1994","s"
"Kim Chaewon","김채원","-","Woollim Entertainment","B","2000","s"
"Na Goeun","나고은","-","Rainbow Bridge World","A","1999","s"
"Murakawa Vivian","村川緋杏","-","HKT48","F","1999","s"
"Kojima Mako","小嶋真子","코지마 마코","AKB48","B","1997","s"
"Son Eunchae","손은채","-","Million Market","B","1999","s"
"Muto Tomu","武藤十夢","무토 토무","AKB48","D","1994","s"
"Kim Doah","김도아","-","FENT","C","2003","s"
"Lee Haeun","이하은","-","MNH Entertainment","A","2004","s"
"Shitao Miu","下尾みう","시타오 미우","AKB48","D","2001","s"
"Bae Eunyeong","배은영","-","Stone Music Entertainment","B","1997","s"
"Kim Nayoung","김나영","-","Banana Culture","A","2002","s"
"Nakanishi Chiyori","中西智代梨","나카니시 치요리","AKB48","C","1995","s"
"Murase Sae","村瀬紗英","무라세 사에","NMB48","C","1997","s"
"Kim Choyeon","김초연","-","A team","C","2001","s"
"Park Seoyoung","박서영","-","Individual Trainee","D","1999","s"
"Park Haeyoon","박해윤","-","FNC Entertainment","D","1996","s"
"Motomura Aoi","本村碧唯","모토무라 아오이","HKT48","B","1997","s"
"Wang Ke","王珂","왕크어","HOW Entertainment","D","2000","s"
"Asai Nanami","浅井七海","아사이 나나미","AKB48","D","2000","s"
"Jo Gahyun","조가현","-","Starship Entertainment","B","2003","s"
"Lee Yoojung","이유정","-","CNC Entertainment","C","2004","s"
"Kim Sohee","김소희","-","Woollim Entertainment","B","2003","s"
"Yu Minyoung","유민영","-","HOW Entertainment","B","2000","s"
"Yoon Haesol","윤해솔","-","The Music Works","D","1997","s"
"Kim Minseo","김민서","-","HOW Entertainment","C","2002","s"
"Park Minji","박민지","-","MND17","B","1999","s"
"Kim Hyunah","김현아","-","Collazoo Company","B","1995","s"
"Aramaki Misaki","荒巻美咲","아라마키 미사키","HKT48","F","2001","s"
"Kim Suyun","김수윤","-","Woollim Entertainment","C","2001","s"
"Sato Minami","佐藤美波","사토 미나미","AKB48","F","2003","s"
"Nakano Ikumi","中野郁海","나카노 이쿠미","AKB48","B","2000","e"
"Hwang Soyeon","황소연","-","Wellmade Yedang","A","2000","e"
"Matsuoka Natsumi","松岡菜摘","마츠오카 나츠미","HKT48","C","1996","e"
"Mogi Shinobu","茂木忍","모기 시노부","AKB48","D","1997","e"
"Choi Yeonsoo","최연수","-","YG K-Plus","F","1999","e"
"Park Jinhee","박진희","-","Individual Trainee","F","1998","e"
"Shin Suhyun","신수현","-","Fave Entertainment","F","1996","e"
"Hasegawa Rena","長谷川玲奈","하세가와 레나","NGT48","F","2001","e"
"Yoon Eunbin","윤은빈","-","CNC Entertainment","B","2004","e"
"Imada Mina","今田美奈","이마다 미나","HKT48","C","1997","e"
"Lee Seunghyun","이승현","-","WM Entertainment","C","2001","e"
"Oda Erina","小田えりな","오다 에리나","AKB48","F","1997","e"
"Kim Dayeon","김다연","-","CNC Entertainment","B","2003","e"
"Park Chanju","박찬주","-","MND17","D","1999","e"
"Tanaka Miku","田中美久","타나카 미쿠","HKT48","C","2001","e"
"Kato Yuuka","加藤夕夏","카토 유우카","NMB48","B","1997","e"
"Jo Yeongin","조영인","-","WM Entertainment","C","2001","e"
"Kang Damin","강다민","-","Wellmade Yedang","A","2004","e"
"Nagano Serika","永野芹佳","나가노 세리카","AKB48","F","2001","e"
"Shinozaki Ayana","篠崎彩奈","시노자키 아야나","AKB48","F","1996","e"
"Kim Dahye","김다혜","-","Banana Culture","C","2002","e"
"Park Jieun","박지은","-","Rainbow Bridge World","F","1997","e"
"Hong Yeji","홍예지","-","CNC Entertainment","F","2002","e"
"Kurihara Sae","栗原紗英","쿠리하라 사에","HKT48","D","1996","e"
"Naiki Kokoro","内木志","나이키 코코로","NMB48","C","1997","e"
"Asai Yuka","浅井裕華","아사이 유우카","SKE48","D","2003","e"
"Ahn Yewon","안예원","-","YG K-Plus","F","2001","e"
"Alex Christine","알렉스 크리스틴","-","ZB Label","C","1996","e"
